stop,target,n_trades,win_rate,net_dollars,profit_factor,max_drawdown_dollars
45,50,398,0.535175879396985,3542.0,1.213882431086018,-940.5
45,55,398,0.5100502512562815,3370.0,1.1927862475329654,-1298.5
45,60,398,0.47738693467336685,2424.0,1.1309067343522168,-1222.5
50,20,398,0.7713567839195979,2447.5,1.2664525611017365,-1376.5
50,25,398,0.7135678391959799,2324.0,1.2071208947907848,-1386.0
50,30,398,0.678391959798995,2903.5,1.2311335774558192,-1627.5
50,35,398,0.6507537688442211,3609.0,1.2649293448339145,-1349.5
50,40,398,0.6130653266331658,3420.0,1.226310217046056,-1173.5
50,45,398,0.5829145728643216,3474.5,1.2137824950007692,-1310.5
50,50,398,0.5603015075376885,3824.5,1.2227366704522291,-1394.5
50,55,398,0.535175879396985,3642.5,1.2002418845001512,-1768.5
50,60,398,0.5025125628140703,2676.5,1.1384134043543466,-1864.0
55,20,398,0.7814070351758794,2147.5,1.222827496757458,-1536.5
55,25,398,0.7261306532663316,2034.0,1.1730990170631037,-1556.0
55,30,398,0.6909547738693468,2578.5,1.195681869924869,-1657.5
55,35,398,0.6608040201005025,3110.5,1.2161119988883484,-1405.5
55,40,398,0.6206030150753769,2631.5,1.163097709876352,-1378.5
55,45,398,0.5904522613065326,2606.0,1.1498993385102099,-1550.5
55,50,398,0.5678391959798995,2896.0,1.1574512042624912,-1524.5
55,55,398,0.5402010050251256,2424.0,1.123515923566879,-1842.5
55,60,398,0.507537688442211,1368.0,1.065512535019036,-2124.0
60,20,398,0.7914572864321608,2001.0,1.2013888888888888,-1459.0
60,25,398,0.7386934673366834,1917.5,1.1583794499050137,-1466.5
60,30,398,0.7085427135678392,2843.0,1.2134624770056688,-1574.0
60,35,398,0.6809045226130653,3569.0,1.2465034361294334,-1276.0
60,40,398,0.6432160804020101,3139.5,1.1932237813884785,-1208.5
60,45,398,0.6155778894472361,3284.0,1.1878020187001401,-1370.5
60,50,398,0.592964824120603,3564.0,1.191772713820657,-1320.5
60,55,398,0.5678391959798995,3219.0,1.162538816935545,-1729.0
60,60,398,0.5376884422110553,2322.5,1.1103377832676136,-1873.5
