lookback,gap,min_size,n_trades,win_rate,net_dollars,profit_factor,max_drawdown,sharpe_approx
200,2.0,2,749,0.582109479305741,8251.0,1.3295259395343264,-1252.5,2.246470838385163
200,2.0,3,270,0.5666666666666667,2233.5,1.236888158243623,-926.0,1.672549841041589
200,2.0,4,98,0.5408163265306123,413.0,1.1171797418073486,-516.5,0.8588934253277117
200,2.0,5,33,0.45454545454545453,-432.0,0.7073170731707317,-350.0,-2.6608709931412133
200,3.0,2,856,0.5689252336448598,7835.5,1.2660746727337555,-996.5,1.8595745405818869
200,3.0,3,398,0.5778894472361809,4149.5,1.3080892452760144,-738.0,2.1170524863548277
200,3.0,4,194,0.5515463917525774,1206.5,1.1750326418105324,-1076.5,1.2616886635697373
200,3.0,5,79,0.5949367088607594,991.5,1.38905238375515,-505.5,2.565171480736488
200,4.0,2,914,0.5700218818380745,8484.0,1.2697400842540338,-1362.5,1.883739298243938
200,4.0,3,509,0.5677799607072691,4358.5,1.2457916255463133,-1132.0,1.7319779872497854
200,4.0,4,280,0.5464285714285714,1514.5,1.1488744716406174,-1274.0,1.0904659353874069
200,4.0,5,145,0.5793103448275863,1697.5,1.3534249427441183,-656.0,2.3812275429542806
200,5.0,2,970,0.5752577319587628,9869.916666666668,1.299809896037687,-1060.0,2.069052063129236
200,5.0,3,584,0.571917808219178,5543.166666666668,1.275391239546245,-1000.0,1.9204270736345996
200,5.0,4,321,0.5763239875389408,3192.0,1.290538388021663,-914.0,2.012833608041191
200,5.0,5,174,0.5689655172413793,1645.0,1.2764241303982524,-582.0,1.9166212310050417
200,7.0,2,1014,0.5887573964497042,12336.041666666668,1.3698884456477063,-996.0,2.485555270371996
200,7.0,3,694,0.5821325648414986,7681.041666666668,1.328685667418495,-1106.5,2.246228571454245
200,7.0,4,484,0.5599173553719008,3548.875,1.2055992874160868,-1042.0,1.476095776588876
200,7.0,5,326,0.5521472392638037,2101.0,1.1789989350372736,-631.0,1.2970976147127815
250,2.0,2,736,0.5815217391304348,7971.0,1.3227713551051812,-1252.5,2.2067004763871347
250,2.0,3,271,0.5830258302583026,2951.5,1.3243228394044284,-919.5,2.21293541629475
250,2.0,4,95,0.6,1299.0,1.440264361972547,-406.5,2.8383838014621077
250,2.0,5,32,0.53125,-30.0,0.975609756097561,-274.5,-0.1887086027434054
250,3.0,2,841,0.5624256837098692,6759.5,1.2296571875106173,-996.5,1.629082746924239
250,3.0,3,402,0.5796019900497512,4235.0,1.3110082984504663,-738.0,2.1367089377633572
250,3.0,4,187,0.5721925133689839,1780.5,1.281769267289128,-934.0,1.9433319770342647
250,3.0,5,74,0.6081081081081081,1081.5,1.4697068403908795,-418.0,3.006037339489402
250,4.0,2,899,0.5639599555061179,7407.5,1.2356299901390082,-1362.5,1.668509582629477
250,4.0,3,513,0.5672514619883041,4284.0,1.2384902299170517,-1132.0,1.6866923988739766
250,4.0,4,285,0.5508771929824562,1680.0,1.1638225255972696,-1114.0,1.1909644542598952
250,4.0,5,149,0.5838926174496645,1849.5,1.3786079836233367,-738.0,2.528270916867281
250,5.0,2,952,0.5714285714285714,9039.416666666668,1.2767810894876106,-1060.0,1.9276724741845899
250,5.0,3,585,0.5675213675213675,5074.666666666668,1.248261241795426,-1000.0,1.7509933089457053
250,5.0,4,336,0.5833333333333334,3657.5,1.3232577665827037,-914.0,2.210074468294624
250,5.0,5,186,0.5752688172043011,1941.0,1.309125656951744,-582.0,2.1181275893408165
250,7.0,2,1001,0.5844155844155844,11398.291666666668,1.3419295164646992,-996.0,2.3216812890146805
250,7.0,3,688,0.5784883720930233,7082.041666666668,1.3021934355170495,-1106.5,2.0859216143574533
250,7.0,4,486,0.5576131687242798,3320.375,1.1905510003515039,-1042.0,1.375725966647171
250,7.0,5,333,0.5615615615615616,2582.5,1.220021299254526,-586.0,1.5659155572594052
300,2.0,2,735,0.582312925170068,7945.0,1.3218879773118606,-1252.5,2.2020544246993765
300,2.0,3,278,0.5719424460431655,2537.5,1.2645295804013552,-919.5,1.8477089560484719
300,2.0,4,101,0.6237623762376238,1767.0,1.5988815455007626,-406.5,3.668623800993315
300,2.0,5,35,0.5714285714285714,204.0,1.1658536585365853,-250.5,1.1776012245096594
300,3.0,2,834,0.565947242206235,7065.5,1.2435539469148569,-996.5,1.7183047684023438
300,3.0,3,409,0.5745721271393643,3981.0,1.2838097953945962,-738.0,1.9707247877087066
300,3.0,4,194,0.5824742268041238,2166.5,1.3384627401968443,-926.0,2.2855436361204067
300,3.0,5,81,0.6296296296296297,1467.5,1.615433004822814,-418.0,3.7631280638879834
300,4.0,2,886,0.5688487584650113,7903.166666666668,1.2576979511983044,-1362.5,1.8085098850662555
300,4.0,3,523,0.5659655831739961,4392.166666666668,1.2407348199033517,-1132.0,1.6991417361933752
300,4.0,4,292,0.5582191780821918,2066.0,1.1998645641869015,-1118.0,1.4313663945092852
300,4.0,5,162,0.5864197530864198,2063.5,1.3897072710103873,-738.0,2.59444742506582
300,5.0,2,933,0.5766345123258306,9472.333333333336,1.2986312166671046,-1060.0,2.062899557615541
300,5.0,3,593,0.5699831365935919,5506.833333333336,1.2689321178577244,-1000.0,1.8793337925745213
300,5.0,4,341,0.592375366568915,4207.5,1.3745826841753839,-914.0,2.5129407485395423
300,5.0,5,197,0.583756345177665,2319.0,1.3554022988505747,-582.0,2.39480137417136
300,7.0,2,977,0.5885363357215967,11601.208333333336,1.3590227963467048,-996.0,2.4229348676851887
300,7.0,3,686,0.5787172011661808,7145.208333333336,1.3067364500959642,-1106.5,2.1126124495802108
300,7.0,4,491,0.5560081466395111,3161.375,1.1782047758964493,-1042.0,1.2943538985478664
300,7.0,5,340,0.5676470588235294,2899.5,1.2438911553181646,-586.0,1.7211874545042836
