gap,ms,gate,n_candidates,n_trades,win_rate,net_dollars,profit_factor,max_drawdown,sharpe_approx
5.0,2,within_200,11005,1366,0.5966325036603221,18124.166666666668,1.4198097547040158,-968.0,2.7514421350344533
5.0,3,inside_OR,1055,584,0.571917808219178,5543.166666666668,1.275391239546245,-1000.0,1.9204270736345996
5.0,3,within_100,2411,867,0.5813148788927336,9590.166666666668,1.3358332652418028,-1243.5,2.272572368174451
5.0,3,within_200,4829,1075,0.5897674418604651,12922.666666666668,1.3703265002006,-1173.5,2.4751184245070297
5.0,4,inside_OR,472,321,0.5763239875389408,3192.0,1.290538388021663,-914.0,2.012833608041191
5.0,4,within_100,1073,535,0.5719626168224299,4806.0,1.2641312412409662,-758.0,1.8371347343883837
5.0,4,within_200,2206,756,0.5595238095238095,5204.0,1.1958047220393189,-1539.5,1.4017703928114622
7.0,2,inside_OR,2333,1014,0.5887573964497042,12336.041666666668,1.3698884456477063,-996.0,2.485555270371996
7.0,2,within_100,5438,1261,0.5947660586835845,16190.166666666668,1.4012200864055777,-728.5,2.651080338928591
7.0,2,within_200,10683,1394,0.6040172166427547,20173.166666666668,1.4678179267269869,-964.0,3.013439394914792
7.0,3,inside_OR,1246,694,0.5821325648414986,7681.041666666668,1.328685667418495,-1106.5,2.246228571454245
7.0,3,within_100,2900,980,0.5785714285714286,10111.666666666668,1.3089151056278865,-1173.5,2.1135055636827973
7.0,3,within_200,5727,1186,0.5834738617200674,13036.666666666668,1.3335949095003328,-1032.0,2.260143263498249
7.0,4,inside_OR,718,484,0.5599173553719008,3548.875,1.2055992874160868,-1042.0,1.476095776588876
7.0,4,within_100,1653,733,0.5593451568894953,5163.0,1.2000309945372127,-1141.5,1.4314759178925658
7.0,4,within_200,3296,964,0.5705394190871369,8505.5,1.2577111865228456,-1313.5,1.8006643236031046
10.0,2,inside_OR,2105,1068,0.5758426966292135,10845.416666666668,1.2995364659093003,-928.0,2.066106244462103
10.0,2,within_100,4888,1302,0.5960061443932412,17258.166666666668,1.4174453949543246,-914.5,2.741913204234268
10.0,2,within_200,9572,1423,0.5987350667603655,19733.666666666668,1.4436891530326992,-964.0,2.8823622776933413
10.0,3,inside_OR,1247,768,0.5924479166666666,9630.166666666668,1.3812669086110196,-1012.0,2.555064366350968
10.0,3,within_100,2897,1068,0.5852059925093633,12242.666666666668,1.348775704972675,-834.0,2.3523376519301613
10.0,3,within_200,5665,1253,0.5897845171588189,15180.666666666668,1.3745137866664476,-970.0,2.4984961338046157
10.0,4,inside_OR,812,580,0.5758620689655173,5665.5,1.2847700427243025,-938.5,1.978229496324945
10.0,4,within_100,1904,871,0.5625717566016073,7086.0,1.2346940465347354,-1037.0,1.6561364282827773
10.0,4,within_200,3743,1074,0.5810055865921788,11506.5,1.3223380115976133,-961.5,2.1960329949385584
15.0,2,inside_OR,1564,1019,0.5750736015701668,10461.849999999999,1.3025632349453689,-1052.0,2.086298420119548
15.0,2,within_100,3654,1329,0.5876598946576373,16236.099999999999,1.3784559298289778,-960.5,2.5209494174837235
15.0,2,within_200,7147,1455,0.5979381443298969,19899.6,1.436539292616634,-1120.0,2.8431490543067355
15.0,3,inside_OR,1054,777,0.5817245817245817,8705.099999999999,1.334016322677932,-826.5,2.277259228319853
15.0,3,within_100,2508,1123,0.5957257346393589,14817.599999999999,1.4129892499491343,-957.5,2.7201191879292175
15.0,3,within_200,4881,1313,0.5917745620715917,16371.099999999999,1.3886738967341241,-1164.5,2.577308594253788
15.0,4,inside_OR,776,635,0.5779527559055118,6613.5999999999985,1.3062858624825753,-801.4000000000015,2.1108569796319534
15.0,4,within_100,1827,972,0.5761316872427984,9834.599999999999,1.3004316494017087,-1187.5,2.0658639422916196
15.0,4,within_200,3570,1164,0.5859106529209622,13151.599999999999,1.3431025216923984,-1437.5,2.3190987432275127
