stop,target,train_n,train_wr,train_net,train_pf,train_mdd,test_n,test_wr,test_net,test_pf,test_mdd
45,50,188,0.5053191489361702,808.0,1.0985305774038168,-940.5,210,0.5619047619047619,2734.0,1.3270334928229666,-933.5
45,55,188,0.4787234042553192,610.0,1.0704347324057502,-1298.5,210,0.5380952380952381,2760.0,1.3129251700680271,-1040.5
45,60,188,0.4521276595744681,220.0,1.024349750968456,-1222.5,210,0.5,2204.0,1.2324404134148914,-1028.0
50,20,188,0.7393617021276596,347.5,1.070896664286443,-1376.5,210,0.8,2100.0,1.4901960784313726,-412.0
50,25,188,0.675531914893617,238.5,1.0410181442944364,-1386.0,210,0.7476190476190476,2085.5,1.3857750647428784,-486.0
50,30,188,0.6329787234042553,273.5,1.0417940097799512,-1627.5,210,0.719047619047619,2630.0,1.4370222665337322,-498.0
50,35,188,0.601063829787234,436.5,1.0615265346395095,-1349.5,210,0.6952380952380952,3172.5,1.485983455882353,-711.5
50,40,188,0.5851063829787234,996.5,1.1346530639821633,-1173.5,210,0.638095238095238,2423.5,1.3142708941191728,-671.0
50,45,188,0.5478723404255319,688.0,1.084786493314437,-1310.5,210,0.6142857142857143,2786.5,1.3424059965593511,-799.5
50,50,188,0.5212765957446809,678.0,1.0786132529421995,-1394.5,210,0.5952380952380952,3146.5,1.3681839457055933,-803.5
50,55,188,0.4946808510638298,460.0,1.0503585308446002,-1768.5,210,0.5714285714285714,3182.5,1.3514244699646643,-923.0
50,60,188,0.46808510638297873,60.0,1.0062833804586868,-1864.0,210,0.5333333333333333,2616.5,1.2673171230077647,-1048.0
55,20,188,0.7446808510638298,17.5,1.0033209981971725,-1536.5,210,0.8142857142857143,2130.0,1.4876373626373627,-366.0
55,25,188,0.6861702127659575,-1.5,0.9997561173888302,-1556.0,210,0.7619047619047619,2035.5,1.3634821428571429,-592.0
55,30,188,0.648936170212766,153.5,1.0224480842351564,-1657.5,210,0.7285714285714285,2425.0,1.3825524530683073,-598.0
55,35,188,0.6170212765957447,296.5,1.0398601868656314,-1405.5,210,0.7,2814.0,1.40463009562154,-805.0
55,40,188,0.5957446808510638,666.5,1.0845115070056426,-1378.5,210,0.6428571428571429,1965.0,1.2382395732298739,-768.5
55,45,188,0.5585106382978723,308.0,1.0355227495530823,-1550.5,210,0.6190476190476191,2298.0,1.2636984336450743,-883.0
55,50,188,0.5319148936170213,268.0,1.029034180163588,-1524.5,210,0.6,2628.0,1.2868212824010914,-997.0
55,55,188,0.5053191489361702,20.0,1.0020427965885297,-1842.5,210,0.5714285714285714,2404.0,1.244445574253902,-1090.5
55,60,188,0.4787234042553192,-400.0,0.9609565641776476,-2124.0,210,0.5333333333333333,1768.0,1.166220091195412,-1278.0
60,20,188,0.7553191489361702,-59.0,0.9891184064920694,-1459.0,210,0.8238095238095238,2060.0,1.4563579973416039,-452.0
60,25,188,0.6968085106382979,-128.0,0.9799152675349129,-1466.5,210,0.7761904761904762,2045.5,1.3567317753749564,-570.0
60,30,188,0.6648936170212766,167.0,1.0238622561977566,-1574.0,210,0.7476190476190476,2676.0,1.4234177215189874,-640.0
60,35,188,0.6329787234042553,290.0,1.0379134527389202,-1276.0,210,0.7238095238095238,3279.0,1.4801229958269273,-820.0
60,40,188,0.6117021276595744,650.0,1.079882020400639,-1208.5,210,0.6714285714285714,2489.5,1.306928862039206,-853.5
60,45,188,0.5797872340425532,461.5,1.052035178712369,-1370.5,210,0.6476190476190476,2822.5,1.3275311865390194,-888.0
60,50,188,0.5531914893617021,411.5,1.0434117522945459,-1320.5,210,0.6285714285714286,3152.5,1.3462193179946187,-1112.0
60,55,188,0.526595744680851,80.5,1.0079789870155615,-1729.0,210,0.6047619047619047,3138.5,1.3230405022901548,-1215.5
60,60,188,0.5,-349.5,0.9669768980016062,-1873.5,210,0.5714285714285714,2672.0,1.255315082891405,-1055.5
